Iteration: #97, Cost: 13003.07, Gradient Magnitude: 151.06
Iteration: #98, Cost: 12946.04, Gradient Magnitude: 150.60
Iteration: #99, Cost: 12889.37, Gradient Magnitude: 150.15
Iteration: #100, Cost: 12833.05, Gradient Magnitude: 149.69
Iteration: #101, Cost: 12777.07, Gradient Magnitude: 149.25
Iteration: #102, Cost: 12721.44, Gradient Magnitude: 148.80
Iteration: #103, Cost: 12666.15, Gradient Magnitude: 148.36
Iteration: #104, Cost: 12611.19, Gradient Magnitude: 147.93
Iteration: #105, Cost: 12556.56, Gradient Magnitude: 147.50
Iteration: #106, Cost: 12502.25, Gradient Magnitude: 147.07
Iteration: #107, Cost: 12448.27, Gradient Magnitude: 146.65
Iteration: #108, Cost: 12394.61, Gradient Magnitude: 146.23
Iteration: #109, Cost: 12341.26, Gradient Magnitude: 145.82
Iteration: #110, Cost: 12288.22, Gradient Magnitude: 145.41
Iteration: #111, Cost: 12235.49, Gradient Magnitude: 145.00
Iteration: #112, Cost: 12183.06, Gradient Magnitude: 144.60
Iteration: #113, Cost: 12130.93, Gradient Magnitude: 144.20
Iteration: #114, Cost: 12079.10, Gradient Magnitude: 143.80
Iteration: #115, Cost: 12027.56, Gradient Magnitude: 143.41
Iteration: #116, Cost: 11976.32, Gradient Magnitude: 143.02
Iteration: #117, Cost: 11925.35, Gradient Magnitude: 142.63
Iteration: #118, Cost: 11874.68, Gradient Magnitude: 142.25
Iteration: #119, Cost: 11824.28, Gradient Magnitude: 141.87
Iteration: #120, Cost: 11774.16, Gradient Magnitude: 141.49
Iteration: #121, Cost: 11724.32, Gradient Magnitude: 141.12
Iteration: #122, Cost: 11674.75, Gradient Magnitude: 140.75
Iteration: #123, Cost: 11625.44, Gradient Magnitude: 140.38
Iteration: #124, Cost: 11576.41, Gradient Magnitude: 140.01
Iteration: #125, Cost: 11527.63, Gradient Magnitude: 139.65
Iteration: #126, Cost: 11479.12, Gradient Magnitude: 139.29
Iteration: #127, Cost: 11430.87, Gradient Magnitude: 138.93
Iteration: #128, Cost: 11382.87, Gradient Magnitude: 138.58
Iteration: #129, Cost: 11335.12, Gradient Magnitude: 138.23
